04 03200 Fort Thomas Unified District                                                 2676      644      155 sd20-az.txt 26NOV2021 
04 03040 Fountain Hills Unified District                                             27606     2831      221 sd20-az.txt 26NOV2021 
04 03060 Fowler Elementary District                                                  35693     5937     1308 sd20-az.txt 26NOV2021 
04 03080 Fredonia-Moccasin Unified District                                           3011      452      124 sd20-az.txt 26NOV2021 
04 03240 Gadsden Elementary District                                                 28117     4449     1058 sd20-az.txt 26NOV2021 
04 03290 Ganado Unified District                                                      7210     1502      591 sd20-az.txt 26NOV2021 
04 03310 Gila Bend Unified District                                                   2894      542      183 sd20-az.txt 26NOV2021 
04 03400 Gilbert Unified District                                                   221225    45698     3182 sd20-az.txt 26NOV2021 
04 03420 Glendale Elementary District                                               117034    16774     4437 sd20-az.txt 26NOV2021 
04 03450 Glendale Union High School District                                        387818    20910     3998 sd20-az.txt 26NOV2021 
04 03500 Globe Unified District                                                      10763     1653      288 sd20-az.txt 26NOV2021 
04 03550 Grand Canyon Unified District                                                2784      198       45 sd20-az.txt 26NOV2021 
04 03660 Hackberry School District                                                    1311       97       17 sd20-az.txt 26NOV2021 
04 03730 Hayden-Winkelman Unified District                                            1360      201       43 sd20-az.txt 26NOV2021 
04 00026 Heber-Overgaard Unified District                                             4270      477      145 sd20-az.txt 26NOV2021 
04 03780 Higley Unified District                                                     77624    16392      969 sd20-az.txt 26NOV2021 
04 08460 Hillside Elementary District                                                  151       23        2 sd20-az.txt 26NOV2021 
04 03820 Holbrook Unified District                                                   10988     2231      606 sd20-az.txt 26NOV2021 
04 03870 Humboldt Unified District                                                   58175     8221      965 sd20-az.txt 26NOV2021 
04 03900 Hyder Elementary District                                                     818      112       20 sd20-az.txt 26NOV2021 
04 03950 Indian Oasis-Baboquivari Unified District                                    7766     1627      655 sd20-az.txt 26NOV2021 
04 03960 Isaac Elementary District                                                   51705     8523     2714 sd20-az.txt 26NOV2021 
04 03990 J. O. Combs Unified School District                                         44617     9694      715 sd20-az.txt 26NOV2021 
04 04010 Joseph City Unified District                                                 1873      416      125 sd20-az.txt 26NOV2021 
04 04060 Kayenta Unified District                                                    10929     2555      860 sd20-az.txt 26NOV2021 
04 00295 Kingman Unified School District                                             70938     8394     1815 sd20-az.txt 26NOV2021 
04 04170 Kirkland Elementary District                                                 1288      140       34 sd20-az.txt 26NOV2021 
04 04200 Klondyke Elementary District                                                   70        6        2 sd20-az.txt 26NOV2021 
04 04230 Kyrene Elementary District                                                 180666    19694     1502 sd20-az.txt 26NOV2021 
04 04280 Lake Havasu Unified District                                                60252     6402     1149 sd20-az.txt 26NOV2021 
04 04290 Laveen Elementary District                                                  49109     7331     1265 sd20-az.txt 26NOV2021 
04 04320 Liberty Elementary District                                                 28730     4257      452 sd20-az.txt 26NOV2021 
04 04380 Litchfield Elementary District                                              91274    11959     1113 sd20-az.txt 26NOV2021 
04 04410 Littlefield Unified District                                                 4261      563      168 sd20-az.txt 26NOV2021 
04 04440 Littleton Elementary District                                               46877     7132     1092 sd20-az.txt 26NOV2021 
04 04500 Madison Elementary District                                                 66234     5539      641 sd20-az.txt 26NOV2021 
04 04530 Maine Consolidated School District                                           1353      153       32 sd20-az.txt 26NOV2021 
04 04570 Mammoth-San Manuel Unified District                                          6988     1232      208 sd20-az.txt 26NOV2021 
04 04630 Marana Unified District                                                     93783    15399     1506 sd20-az.txt 26NOV2021 
04 04720 Maricopa Unified School District                                            60511    11802     1238 sd20-az.txt 26NOV2021 
04 04820 Mayer Unified District                                                       6469      698      142 sd20-az.txt 26NOV2021 
04 04860 McNary Elementary District                                                    552      148       61 sd20-az.txt 26NOV2021 
04 04920 McNeal Elementary District                                                    492      102       15 sd20-az.txt 26NOV2021 
04 04970 Mesa Unified District                                                      544361    86241    13896 sd20-az.txt 26NOV2021 
04 05030 Miami Unified District                                                       7644     1231      305 sd20-az.txt 26NOV2021 
04 05070 Mingus Union High School District                                           37815     1457      223 sd20-az.txt 26NOV2021 
04 05100 Mobile Elementary District                                                    149       26        4 sd20-az.txt 26NOV2021 
04 05190 Mohave Valley Elementary District                                           23567     1887      401 sd20-az.txt 26NOV2021 
04 05220 Mohawk Valley Elementary District                                            1775      178       37 sd20-az.txt 26NOV2021 
04 05320 Morenci Unified District                                                     6316     1264       80 sd20-az.txt 26NOV2021 
04 05340 Morristown Elementary District                                               2156      289       46 sd20-az.txt 26NOV2021 
04 05400 Murphy Elementary District                                                  20709     2231      687 sd20-az.txt 26NOV2021 
04 05430 Naco Elementary District                                                     1457      362       92 sd20-az.txt 26NOV2021 
04 05460 Nadaburg Unified School District                                             9757     1828      298 sd20-az.txt 26NOV2021 
04 05530 Nogales Unified District                                                    21943     4424     1300 sd20-az.txt 26NOV2021 
04 05640 Oracle Elementary District                                                  17431     1130      104 sd20-az.txt 26NOV2021 
04 05670 Osborn Elementary District                                                  44177     4125      965 sd20-az.txt 26NOV2021 
04 05730 Owens-Whitney Elementary District                                             660       55       15 sd20-az.txt 26NOV2021 
04 05820 Page Unified District                                                       13820     2821      577 sd20-az.txt 26NOV2021 
04 05850 Palo Verde Elementary District                                               3286      474       91 sd20-az.txt 26NOV2021 
04 08430 Paloma School District                                                        361       88       17 sd20-az.txt 26NOV2021 
04 05880 Palominas Elementary District                                               10209     1604      194 sd20-az.txt 26NOV2021 
04 05930 Paradise Valley Unified District                                           287728    42640     4529 sd20-az.txt 26NOV2021 
04 05980 Parker Unified School District                                              10031     1596      355 sd20-az.txt 26NOV2021 
04 06000 Patagonia Elementary District                                                1514      116       17 sd20-az.txt 26NOV2021 
04 06030 Patagonia Union High School District                                         3343      119       28 sd20-az.txt 26NOV2021 
04 06070 Payson Unified District                                                     21923     2714      613 sd20-az.txt 26NOV2021 
04 06120 Peach Springs Unified District                                               1417      277       83 sd20-az.txt 26NOV2021 
04 06150 Pearce Elementary District                                                   2009      112       22 sd20-az.txt 26NOV2021 
04 06210 Pendergast Elementary District                                              80273    11832     2263 sd20-az.txt 26NOV2021 
04 06250 Peoria Unified School District                                             249693    41633     4680 sd20-az.txt 26NOV2021 
04 06300 Phoenix Elementary District                                                 66101     7301     2215 sd20-az.txt 26NOV2021 
04 06330 Phoenix Union High School District                                         782853    44863     9383 sd20-az.txt 26NOV2021 
04 06360 Picacho Elementary District                                                 10576      144       36 sd20-az.txt 26NOV2021 
04 06440 Pima Unified District                                                        3946      925      114 sd20-az.txt 26NOV2021 
04 06510 Pine Strawberry Elementary District                                          2989      221       59 sd20-az.txt 26NOV2021 
04 00023 Pinon Unified District                                                       7387     1744      551 sd20-az.txt 26NOV2021 
04 06630 Pomerene Elementary District                                                  980      158       29 sd20-az.txt 26NOV2021 
04 06730 Prescott Unified District                                                   62175     5578      534 sd20-az.txt 26NOV2021 
04 06780 Quartzsite Elementary District                                               6458      285       71 sd20-az.txt 26NOV2021 
04 06810 Queen Creek Unified District                                                31583     7262      385 sd20-az.txt 26NOV2021 
04 06850 Ray Unified District                                                         4884      823       92 sd20-az.txt 26NOV2021 
04 06870 Red Mesa Unified District                                                    8650     1918      663 sd20-az.txt 26NOV2021 
04 06900 Red Rock Elementary District                                                 4302      634       73 sd20-az.txt 26NOV2021 
04 06930 Redington Elementary District                                                 104       15        2 sd20-az.txt 26NOV2021 
04 07020 Riverside Elementary District                                                8099     1389      302 sd20-az.txt 26NOV2021 
04 07080 Roosevelt Elementary District                                              122211    17716     4334 sd20-az.txt 26NOV2021 
04 07130 Round Valley Unified District                                                8208     1375      380 sd20-az.txt 26NOV2021 
04 07140 Rucker Elementary District                                                     26        0        0 sd20-az.txt 26NOV2021 
04 07200 Sacaton Elementary District                                                  8408     1307      390 sd20-az.txt 26NOV2021 
04 07170 Saddle Mountain Unified School District                                     10581     2161      291 sd20-az.txt 26NOV2021 
04 07240 Safford Unified District                                                    17609     3364      454 sd20-az.txt 26NOV2021 
04 07300 Sahuarita Unified District                                                  29241     5750      559 sd20-az.txt 26NOV2021 
04 00005 Salome Consolidated Elementary District                                      2898      125       36 sd20-az.txt 26NOV2021 
04 06960 San Carlos Unified District                                                  8212     2044      545 sd20-az.txt 26NOV2021 
04 07380 San Fernando Elementary District                                               56        6        0 sd20-az.txt 26NOV2021 
04 07430 San Simon Unified District                                                    666       79       17 sd20-az.txt 26NOV2021 
04 06740 Sanders Unified District                                                     5929     1262      557 sd20-az.txt 26NOV2021 
04 07500 Santa Cruz Elementary District                                               1681      373       65 sd20-az.txt 26NOV2021 
04 07520 Santa Cruz Valley Unified District                                          19829     3967      800 sd20-az.txt 26NOV2021 
04 07530 Santa Cruz Valley Union High School District                                23377      785      181 sd20-az.txt 26NOV2021 
04 07570 Scottsdale Unified District                                                264360    33588     2428 sd20-az.txt 26NOV2021 
04 09733 Sedona-Oak Creek Joint Unified District                                     19776     1454      181 sd20-az.txt 26NOV2021 
04 07630 Seligman Unified District                                                    1497      140       22 sd20-az.txt 26NOV2021 
04 07680 Sentinel Elementary District                                                  154       27        7 sd20-az.txt 26NOV2021 
04 07700 Show Low Unified District                                                   17001     2634      671 sd20-az.txt 26NOV2021 
04 01460 Sierra Vista Unified District                                               47512     7041     1014 sd20-az.txt 26NOV2021 
04 07770 Skull Valley Elementary District                                              692      106       11 sd20-az.txt 26NOV2021 
04 07820 Snowflake Unified District                                                  12770     2655      644 sd20-az.txt 26NOV2021 
04 07860 Solomon Elementary District                                                  3020      388       58 sd20-az.txt 26NOV2021 
04 07890 Somerton Elementary District                                                24012     3273      864 sd20-az.txt 26NOV2021 
04 07920 Sonoita Elementary District                                                  1828      111       13 sd20-az.txt 26NOV2021 
04 08020 St. David Unified District                                                   3573      501       81 sd20-az.txt 26NOV2021 
04 08080 St. Johns Unified District                                                   4221      773      245 sd20-az.txt 26NOV2021 
04 08130 Stanfield Elementary District                                                6642      880      105 sd20-az.txt 26NOV2021 
04 08170 Sunnyside Unified District                                                  95024    19594     4906 sd20-az.txt 26NOV2021 
04 08230 Superior Unified School District                                             4307      633      154 sd20-az.txt 26NOV2021 
04 08280 Tanque Verde Unified District                                               12426     1907       96 sd20-az.txt 26NOV2021 
04 08310 Tempe School District                                                      172152    13326     2723 sd20-az.txt 26NOV2021 
04 08340 Tempe Union High School District                                           352818    16339     1663 sd20-az.txt 26NOV2021 
04 08410 Thatcher Unified District                                                    7788     1532      190 sd20-az.txt 26NOV2021 
04 08490 Tolleson Elementary District                                                18055     2862      642 sd20-az.txt 26NOV2021 
04 08520 Tolleson Union High School District                                        197644    12903     1918 sd20-az.txt 26NOV2021 
04 08550 Toltec Elementary District                                                  18163     2111      371 sd20-az.txt 26NOV2021 
04 08600 Tombstone Unified District                                                   7419     1025      231 sd20-az.txt 26NOV2021 
04 05760 Tonto Basin Elementary District                                              1656      103       30 sd20-az.txt 26NOV2021 
04 08640 Topock Elementary District                                                   2714      148       36 sd20-az.txt 26NOV2021 
04 08680 Tuba City Unified District                                                  17028     3609      975 sd20-az.txt 26NOV2021 
04 08800 Tucson Unified District                                                    511676    72533    14462 sd20-az.txt 26NOV2021 
04 08820 Union Elementary District                                                   16746     2922      482 sd20-az.txt 26NOV2021 
04 08850 Vail Unified District                                                       56869    10922      651 sd20-az.txt 26NOV2021 
04 08880 Valentine Elementary District                                                 270       36       12 sd20-az.txt 26NOV2021 
04 08910 Valley Union High School District                                            3780      170       18 sd20-az.txt 26NOV2021 
04 00022 Vernon Elementary District                                                   1941      256      102 sd20-az.txt 26NOV2021 
04 09030 Walnut Grove Elementary District                                              117        1        0 sd20-az.txt 26NOV2021 
04 09060 Washington Elementary District                                             270784    29918     6724 sd20-az.txt 26NOV2021 
04 09090 Wellton Elementary District                                                  4507      361       88 sd20-az.txt 26NOV2021 
04 09120 Wenden Elementary District                                                    853       98       31 sd20-az.txt 26NOV2021 
04 09160 Whiteriver Unified District                                                 13357     2983     1009 sd20-az.txt 26NOV2021 
04 09190 Wickenburg Unified District                                                 13411     1460      251 sd20-az.txt 26NOV2021 
04 09250 Willcox Unified District                                                     8280     1455      234 sd20-az.txt 26NOV2021 
04 09310 Williams Unified District                                                    6088      875      182 sd20-az.txt 26NOV2021 
04 09360 Williamson Valley Elementary School District                                  684       57        9 sd20-az.txt 26NOV2021 
04 09390 Wilson Elementary District                                                   4777      664      220 sd20-az.txt 26NOV2021 
04 09430 Window Rock Unified District                                                11909     2391      971 sd20-az.txt 26NOV2021 
04 09460 Winslow Unified District                                                    12056     2131      586 sd20-az.txt 26NOV2021 
04 09510 Yarnell Elementary District                                                  1346       65       15 sd20-az.txt 26NOV2021 
04 09540 Young Elementary School District                                              897       95       22 sd20-az.txt 26NOV2021 
04 09570 Yucca Elementary District                                                     744       45       24 sd20-az.txt 26NOV2021 
04 09600 Yuma Elementary District                                                   110431    11040     2111 sd20-az.txt 26NOV2021 
04 09630 Yuma Union High School District                                            210725    12289     2440 sd20-az.txt 26NOV2021 
